address,categoryName,city,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,price,reviewsCount,state,street,subTitle,title,totalScore,website,Categories
"PJ82+WFM, Al Qarnah, Al Qarna, Luxor Governorate 1340560, Egypt",Restaurant,Al Qarna,25.7174274,32.6015553,Monday,8 AM to 10 PM,Tuesday,8 AM to 10 PM,Wednesday,8 AM to 10 PM,Thursday,8 AM to 10 PM,Friday,8 AM to 10 PM,Saturday,8 AM to 10 PM,Sunday,8 AM to 10 PM,+20 10 01843934,,124,Luxor Governorate,PJ82+WFM,Habu Garden restaurant,Habu Garden,4.9,,Restaurant
"PJ98+2HJ, Al Bairat, Al Qarna, Luxor Governorate 1341476, Egypt",Barbecue restaurant,Al Qarna,25.7175934,32.6164026,,,,,,,,,,,,,,,+20 10 92093708,E£300–400,38,Luxor Governorate,PJ98+2HJ,,Balady restaurant,4.7,,Barbecue restaurant
"Abd El-Hameed Taha, Luxor City, Luxor, Luxor Governorate 1362432, Egypt",Izakaya restaurant,Luxor,25.7011983,32.6425749,Monday,11 AM to 11 PM,Tuesday,11 AM to 11 PM,Wednesday,11 AM to 11 PM,Thursday,11 AM to 11 PM,Friday,11 AM to 11 PM,Saturday,11 AM to 11 PM,Sunday,11 AM to 11 PM,,$,348,Luxor Governorate,Abd El-Hameed Taha,Jamboree Restaurant ـ مطعم جامبورى,Jamboree Restaurant,4.5,,Izakaya restaurant
"https://www.google.com/maps/@25.6885906,32.6217779,48m/data=!3m1!1e3?hl=en, Luxor, Luxor Governorate 85958, Egypt",Restaurant,Luxor,25.6886885,32.6218634,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,+20 10 64128461,,241,Luxor Governorate,"https://www.google.com/maps/@25.6885906,32.6217779,48m/data=!3m1!1e3?hl=en",,AHLLAN Restaurant مطعم اهلا,4.9,https://jewelhowardcarter.com/restaurant/,Restaurant
"كورنيش النيل، الكرنك، الأقصر،, Egypt",Fine dining restaurant,Luxor,25.7098444,32.645617,Monday,7:30 AM to 1 AM,Tuesday,7:30 AM to 1:30 AM,Wednesday,7:30 AM to 1 AM,Thursday,7:30 AM to 1 AM,Friday,7:30 AM to 1 AM,Saturday,7:30 AM to 1 AM,Sunday,7:30 AM to 1 AM,+20 11 13560002,,48,Luxor Governorate,كورنيش النيل، الكرنك، الأقصر،,مطعم هاواي الأقصر Luxor Hawaii Restaurant,مطعم وكافية هاواي Hawaii Cafe & Restaurant,4.3,,Fine dining restaurant
"Al Qarnah, Al Qarna, Luxor Governorate 1341473, Egypt",Meat dish restaurant,Al Qarna,25.7195802,32.611415,,,,,,,,,,,,,,,+20 10 66165020,,87,Luxor Governorate,,,مطعم الملكة Queen Restaurant,4.9,,Meat dish restaurant
"PJ5V+FPG, Karnak, Luxor, Luxor Governorate 1362601, Egypt",Restaurant,Luxor,25.7088187,32.6446747,,,,,,,,,,,,,,,,,4,Luxor Governorate,PJ5V+FPG,,Oum Kalthoum caffe,4.8,,Restaurant
"على النيل البر الغربى, Al Bairat, Al Qarna, Luxor Governorate 1345179, Egypt",Restaurant,Al Qarna,25.702674,32.6336667,Monday,8 AM to 11 PM,Tuesday,8 AM to 11 PM,Wednesday,8 AM to 11 PM,Thursday,8 AM to 11 PM,Friday,8 AM to 11 PM,Saturday,8 AM to 11 PM,Sunday,8 AM to 11 PM,+20 10 05668614,E£200–300,361,Luxor Governorate,على النيل البر الغربى,,مطعم توت عنخ امون Tout Ankh Amoun Restaurant,4.8,,Restaurant
"Luxor City, Luxor, Luxor Governorate 1362352, Egypt",Meat dish restaurant,Luxor,25.6948529,32.6424049,Monday,11 AM to 12 AM,Tuesday,11 AM to 12 AM,Wednesday,11 AM to 12 AM,Thursday,11 AM to 12 AM,Friday,11 AM to 12 AM,Saturday,11 AM to 12 AM,Sunday,11 AM to 12 AM,+20 95 2359752,$$,2334,Luxor Governorate,,سفرة,Sofra Restaurant & Cafe,4.4,http://www.sofra.com.eg/,"Meat dish restaurant, Cafe"
"Memnon Street Front of Colossi of Memnon, Al Bairat, Al Qarna, Luxor Governorate 85831, Egypt",Restaurant,Al Qarna,25.7197706,32.6109369,Monday,6 AM to 10 PM,Tuesday,6 AM to 10 PM,Wednesday,6 AM to 10 PM,Thursday,6 AM to 10 PM,Friday,6 AM to 10 PM,Saturday,6 AM to 10 PM,Sunday,6:30 AM to 10 PM,+20 15 01629002,,66,Luxor Governorate,Memnon Street Front of Colossi of Memnon,,Ali Baba Restaurant,4.6,,Restaurant
"PJ6R+P53, Tourist Port Rd, Al Qarnah, Al Qarna, Luxor Governorate 1345270, Egypt",Restaurant,Al Qarna,25.7117695,32.6404123,,,,,,,,,,,,,,,,$$,256,Luxor Governorate,"PJ6R+P53, Tourist Port Rd",,CAIRO PLAZA RESTAURANT,3.9,,Restaurant
"Karnak, Luxor, Luxor Governorate 1363024, Egypt",Traditional restaurant,Luxor,25.7180367,32.6521419,Monday,12 to 7 PM,Tuesday,12 to 7 PM,Wednesday,12 to 7 PM,Thursday,12 to 7 PM,Friday,Closed,Saturday,12 to 7 PM,Sunday,12 to 7 PM,+20 10 13150318,$$,405,Luxor Governorate,,Al White Garden Restaurant & Coffee,White Coffee & Restaraunt,4.8,https://www.facebook.com/profile.php?id=100083450312850,"Traditional restaurant, Arab restaurant, Cafeteria, Coffee shop, Family restaurant, Lunch restaurant, Restaurant"
"البر الغربي القرنة, Luxor City, Luxor, Luxor Governorate, Egypt",Restaurant,Luxor,25.7220194,32.6043543,Monday,8 AM to 11 PM,Tuesday,8 AM to 11 PM,Wednesday,8 AM to 11 PM,Thursday,8 AM to 11 PM,Friday,8 AM to 11 PM,Saturday,8 AM to 11 PM,Sunday,8 AM to 11 PM,+20 10 10894585,E£100–200,93,Luxor Governorate,البر الغربي القرنة,مطعم محمد,Restaurant Mohamed,4.6,http://www.azabdesertsafari.com/,Restaurant
"شارع يوسف حسن، المساكن الشعبية, Luxor City, Luxor Governorate, Egypt",Koshari restaurant,Luxor,25.7014025,32.6440649,Monday,8 AM to 2 AM,Tuesday,8 AM to 2 AM,Wednesday,8 AM to 2 AM,Thursday,8 AM to 2 AM,Friday,8 AM to 2 AM,Saturday,8 AM to 12 AM,Sunday,8 AM to 2 AM,+20 11 56996666,E£1–100,706,Luxor Governorate,شارع يوسف حسن، المساكن الشعبية,الزعيم 2,El Zaeem Restaurant,3.6,,"Koshari restaurant, Takeout Restaurant"
"Al Bairat, Luxor, Luxor Governorate 1345150, Egypt",Western restaurant,Luxor,25.7115314,32.6266614,Monday,10 AM to 10 PM,Tuesday,10 AM to 10 PM,Wednesday,10 AM to 10 PM,Thursday,10 AM to 10 PM,Friday,10 AM to 10 PM,Saturday,10 AM to 10 PM,Sunday,10 AM to 10 PM,+20 10 95809188,E£200–300,328,Luxor Governorate,,,مطعم وولف Wolf Restaurant,4.8,https://www.facebook.com/Wolf-restaurant-luxor-1609683115737916/,Western restaurant
"Karnak, Luxor, Luxor Governorate 1363401, Egypt",Restaurant,Luxor,25.72263,32.6535066,Monday,9 AM to 1 AM,Tuesday,9 AM to 1 AM,Wednesday,8:30 AM to 1 AM,Thursday,8:30 AM to 1 AM,Friday,8:30 AM to 1 AM,Saturday,8:30 AM to 1 AM,Sunday,9 AM to 1 AM,+20 10 02800448,E£200–300,496,Luxor Governorate,,Beyt Ward Restaurant & Cafe sho,Beyt Ward Restaurant and cafe shop,4.3,,"Restaurant, Coffee store"
"PJC6+23F, Al Bairat, Luxor, Luxor Governorate 1341472, Egypt",Restaurant,Luxor,25.7200527,32.6101856,Monday,6:30 AM to 9 PM,Tuesday,6:30 AM to 9 PM,Wednesday,6:30 AM to 9 PM,Thursday,6:30 AM to 9 PM,Friday,6:30 AM to 9 PM,Saturday,6:30 AM to 9 PM,Sunday,6:30 AM to 9 PM,+20 10 30340897,E£100–200,66,Luxor Governorate,PJC6+23F,,"Memnon Guesthouse, Restaurant & Cafe",4.5,,Restaurant
"Kornish Al Nile, Luxor City, Luxor, Luxor Governorate 85111, Egypt",Meat dish restaurant,Luxor,25.6967828,32.6362213,Monday,11 AM to 12 AM,Tuesday,11 AM to 12 AM,Wednesday,11 AM to 12 AM,Thursday,11 AM to 12 AM,Friday,11 AM to 12 AM,Saturday,11 AM to 12 AM,Sunday,11 AM to 12 AM,+20 10 03396632,$$,1905,Luxor Governorate,Kornish Al Nile,,Restaurant El-Kababgy Luxor,4.7,http://elkababgyluxor.com/,"Meat dish restaurant, Grill, Egyptian restaurant, Vegetarian restaurant"
"Al Bairat, Luxor, Luxor Governorate 1345173, Egypt",Fine dining restaurant,Luxor,25.6983619,32.6305636,Monday,6 AM to 10 PM,Tuesday,6 AM to 10 PM,Wednesday,6 AM to 10 PM,Thursday,6 AM to 10 PM,Friday,6 AM to 10 PM,Saturday,6 AM to 10 PM,Sunday,6 AM to 10 PM,+20 10 09090849,E£100–200,566,Luxor Governorate,,Nubian House restaurant,Nubian House,4.8,,"Fine dining restaurant, Botanical garden, Ranch, Restaurant"
"In front of Colossi of Memnon, Qarnah, Al Qarna, Luxor Governorate 1341473, Egypt",Restaurant,Al Qarna,25.7199448,32.6105583,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,+20 10 80311145,,78,Luxor Governorate,In front of Colossi of Memnon,,Saray El Nile Restaurant مطعم سرايا النيل,4.9,,Restaurant
