additionalInfo/Accessibility/0/Wheelchair accessible entrance,additionalInfo/Accessibility/1/Wheelchair accessible parking lot,additionalInfo/Children/0/Good for kids,address,categoryName,city,description,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,reviewsCount,state,street,subTitle,title,totalScore,website,Categories
,,True,"Al Bairat, Al Qarna, Luxor Governorate 1341703, Egypt",Historical landmark,Al Qarna,"Pair of huge Egyptian statue figures, the only remains of the ancient temple of King Amenhotep III.",25.7203984,32.6104276,,,,,,,,,,,,,,,,8841,Luxor Governorate,,تمثالا ممنون,Colossi of Memnon,4.6,,"Historical landmark, Tourist attraction"
,,,"Rawda El sharifa of TV stluxor Luxor and Aswan, 85951, Egypt",Tour agency,Luxor,,25.6872448,32.6395854,Monday,6 AM to 10 PM,Tuesday,6 AM to 10 PM,Wednesday,6 AM to 10 PM,Thursday,6 AM to 10 PM,Friday,6 AM to 10 PM,Saturday,6 AM to 10 PM,Sunday,6 AM to 10 PM,+20 11 14584908,12,Luxor Governorate,Rawda El sharifa of TV stluxor Luxor and Aswan,,Bliss travel Egypt,5.0,,"Tour agency, Balloon ride tour agency, Cruise agency, Historical place museum, Tourist attraction, Transportation service"
True,True,True,"ش Kornish Al Nile, Luxor City, Luxor, Luxor Governorate 1362501, Egypt",Archaeological museum,Luxor,"Compact attraction with information on ancient mummification, plus some specimens & artifacts.",25.7023166,32.6398497,Monday,"9 AM to 2 PM, 5 to 10 PM",Tuesday,"9 AM to 2 PM, 5 to 10 PM",Wednesday,"9 AM to 2 PM, 5 to 10 PM",Thursday,"9 AM to 2 PM, 5 to 10 PM",Friday,"9 AM to 2 PM, 5 to 10 PM",Saturday,"9 AM to 2 PM, 5 to 10 PM",Sunday,"9 AM to 2 PM, 5 to 10 PM",,977,Luxor Governorate,ش Kornish Al Nile,متحف التحنيط,Mummification Museum,4.3,https://egymonuments.gov.eg/en/museums/mummification-museum,"Archaeological museum, Heritage museum, Tourist attraction"
True,True,,"MJXQ+WWR معبد, Luxor City, Luxor, Luxor Governorate 1362501, Egypt",Mosque,Luxor,Mosque built above the ruins of a historic 1300s Luxor temple complex.,25.6998692,32.6397745,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,,1657,Luxor Governorate,MJXQ+WWR معبد,مسجد سيدي ابو الحجاج الأقصري,Abu Haggag Mosque,4.7,https://al-ain.com/article/aboalhajaj-mosque,"Mosque, Tourist attraction"
,,,"Khaled Ibn Al Walid, Luxor, Egypt",Balloon ride tour agency,Luxor,,25.68801,32.6323989,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,+20 10 05688439,320,Luxor Governorate,Khaled Ibn Al Walid,,"Magic Horizon Balloons, Luxor",4.5,https://visitluxorinhotairballoon.com/,"Balloon ride tour agency, Open air museum, Sightseeing tour agency, Tour agency, Tourist attraction"
,,True,"Corniche el Nile street At the Old Winter Palace hotel, Luxor Governorate 85951, Egypt",Art gallery,Luxor,,25.69649,32.6367831,Monday,9 AM to 11 PM,Tuesday,9 AM to 11 PM,Wednesday,9 AM to 11 PM,Thursday,9 AM to 11 PM,Friday,9 AM to 11 PM,Saturday,9 AM to 11 PM,Sunday,9 AM to 11 PM,+20 10 91247625,183,Luxor Governorate,Corniche el Nile street At the Old Winter Palace hotel,,Nobles Art Gallery,5.0,https://www.noblesartgallery.com/,"Art gallery, Antique store, Store"
,,,"Gazirat Al Awameyah, Luxor, Luxor Governorate 1362243, Egypt",Hindu temple,Luxor,,25.687243,32.639635,,,,,,,,,,,,,,,+20 10 05037411,26,Luxor Governorate,,,Luxor city - Egypt,4.6,,Hindu temple
True,,,"MJXR+JFC مدرسة البنات, Luxor City, Luxor, Luxor Governorate 1362510, Egypt",Market,Luxor,,25.6990611,32.6411281,Monday,8 AM to 12 AM,Tuesday,8 AM to 12 AM,Wednesday,8 AM to 12 AM,Thursday,8 AM to 12 AM,Friday,1 PM to 12 AM,Saturday,8 AM to 12 AM,Sunday,8 AM to 12 AM,+20 96 4420475,449,Luxor Governorate,MJXR+JFC مدرسة البنات,السوق,El - Souk,4.0,,Market
,,True,"Ramlah Village West Bank, Kornish Al Nile, Al Aqaletah, Al Qarna, Luxor Governorate 1345122, Egypt",Horseback riding service,Al Qarna,,25.6957149,32.6282564,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,7 AM to 6 PM,Sunday,7 AM to 6 PM,+20 10 23980432,115,Luxor Governorate,"Ramlah Village West Bank, Kornish Al Nile",,Horses & Hieroglyphs,5.0,https://www.horsesandhieroglyphs.com/,"Horseback riding service, Tour operator"
,,,"Luxor Temple st, Luxor City, Luxor, Luxor Governorate 1362410, Egypt",Sightseeing tour agency,Luxor,,25.6988239,32.6409077,,,,,,,,,,,,,,,+20 10 65000155,33,Luxor Governorate,Luxor Temple st,,Luxor Tour guide,5.0,http://www.luxortourguide.com/,"Sightseeing tour agency, Archaeological museum, Career guidance service, Tour agency, Tour operator"
,,,"Kornish Al Nile, Luxor City, Luxor, Luxor Governorate 1362404, Egypt",Gift shop,Luxor,,25.697015,32.6371408,Monday,9:30 AM to 9:30 PM,Tuesday,9:30 AM to 9:30 PM,Wednesday,9:30 AM to 9:30 PM,Thursday,9:30 AM to 9:30 PM,Friday,10 AM to 9:30 PM,Saturday,9:30 AM to 9:30 PM,Sunday,10 AM to 9:30 PM,+20 95 2372142,44,Luxor Governorate,Kornish Al Nile,,Gaddis & Co.,4.9,,Gift shop
True,True,,"MJWW+RFW, El-Souk, Luxor City, قسم, Luxor Governorate 1364202, Egypt",Fruit and vegetable store,قسم,,25.6978564,32.64615,Monday,8 AM to 12 AM,Tuesday,8 AM to 12 AM,Wednesday,8 AM to 12 AM,Thursday,8 AM to 12 AM,Friday,1 PM to 12 AM,Saturday,8 AM to 12 AM,Sunday,8 AM to 12 AM,,1159,Luxor Governorate,"MJWW+RFW, El-Souk",سوق الاقصر,Luxor Fruit and Vegetable Market,4.0,,Fruit and vegetable store
,,,"West bank gezirat albairat El Ramla, Luxor Governorate 85831, Egypt",Hotel,Al Qarna,,25.7012756,32.6314896,,,,,,,,,,,,,,,,230,Luxor Governorate,West bank gezirat albairat El Ramla,,Luxor Palace apartments,4.8,https://luxorpalaceapartments.com/,"Hotel, Bed & breakfast, Holiday home, Hostel"
