Unnamed: 0,id,types,internationalPhoneNumber,formattedAddress,rating,googleMapsUri,websiteUri,userRatingCount,primaryType,shortFormattedAddress,location.latitude,location.longitude,regularOpeningHours.weekdayDescriptions,displayName.text,displayName.languageCode,primaryTypeDisplayName.text,priceRange.startPrice.units,priceRange.endPrice.units,priceLevel
10,ChIJl117NrrJ9xQROA3_0IYzVIQ,"['restaurant', 'point_of_interest', 'food', 'establishment']",+20 10 50049888,"بجوار هايبر ديسكونت امام ٣٠٦, Tanta Qism 2, Tanta, Gharbia Governorate 31111, Egypt",3.8,https://maps.google.com/?cid=9535302965175192888,,16.0,restaurant,"بجوار هايبر ديسكونت امام ٣٠٦, Tanta Qism 2, Tanta",30.8173938,30.9922452,"['Monday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fAM']",مشلتت,en,Restaurant,,,
11,ChIJlWXwtTEnWhQRAupzdYvCjHU,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"نقابة المحامين ع الكورنيش، Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721083, Egypt",4.2,https://maps.google.com/?cid=8470358903403833858,,1634.0,restaurant,نقابة المحامين ع الكورنيش,29.0682175,31.1104099,"['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u20093:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u20093:00\u202fAM']",A-CLASS Resturant&cafe,ar,Restaurant,,,PRICE_LEVEL_MODERATE
12,ChIJCSnOoFqc-RQRbZZPQ0mTLTU,"['cafe', 'food', 'point_of_interest', 'establishment']",,"بور سعيد، بور سعيد، portsaid، Al Arab, Port Said Governorate 42511, Egypt",3.8,https://maps.google.com/?cid=3831880800833345133,,414.0,cafe,بور سعيد، بور سعيد، portsaid,31.2619037,32.2991447,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",البحرية كافيه,ar,Cafe,1.0,100.0,PRICE_LEVEL_INEXPENSIVE
13,ChIJS9e4pRIh-BQRkpYW-n3ZaDk,"['museum', 'point_of_interest', 'establishment']",,"شارع، أبو كبير، مركز أبو كبير، الشرقية،، MMR2+V4X, Abu Kabir, Al-Sharqia Governorate 7230423, Egypt",5.0,https://maps.google.com/?cid=4136795392829724306,,1.0,museum,"MMR2+V4X، شارع، أبو كبير، مركز أبو كبير، الشرقية،, Abu Kabir",30.6922287,31.6503728,,shehab ahmed,ar,Museum,,,
14,ChIJnxPjJf2PVBQR752Ed8fpEyA,"['museum', 'point_of_interest', 'establishment']",,"HX88+RJ8, Saint Catherine, South Sinai Governorate 8730071, Egypt",,https://maps.google.com/?cid=2311448076684140015,,,museum,"HX88+RJ8, Saint Catherine",28.567041,33.9665809,,الحيوان المنحوت بفعل الطبيعه,en,Museum,,,
15,ChIJYf_zlR5BWBQRHSDJylWv_IU,"['restaurant', 'point_of_interest', 'food', 'establishment']",+20 10 08676664,"عبد الحميد قاسم، وراق العرب، الوراق،، 4647+PP5, Warraq Al Arab, Al Warak, Giza Governorate 3864210, Egypt",3.5,https://maps.google.com/?cid=9654784484184760349,,56.0,restaurant,"4647+PP5، عبد الحميد قاسم، وراق العرب، الوراق،, Al Warak",30.106757700000003,31.2143517,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Closed', 'Sunday: Open 24 hours']",مشويات خيري,ar,Restaurant,1.0,100.0,
16,ChIJUxTLV2_J9xQRT7TP6gXcr3U,"['lodging', 'point_of_interest', 'establishment']",+20 10 19320443,"شارع الحلو، Tanta Qism 2, Tanta, Gharbia Governorate 6632375, Egypt",4.5,https://maps.google.com/?cid=8480238541334361167,https://bayoumistore.com/,11.0,lodging,"شارع الحلو, Tanta Qism 2, Tanta",30.7934157,31.0041837,,جاليرى بيومى- Gallery Bayoumi,en,Lodging,,,
17,ChIJperJqjBBWBQR_OIZkUnjb30,"['coffee_shop', 'cafe', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",+20 10 27517220,"جزيرة محمد، قسم الوراق،، Gazirat Muhammad, Al Warak, Giza Governorate 3870180, Egypt",4.2,https://maps.google.com/?cid=9038692882262385404,,22.0,cafe,"جزيرة محمد، قسم الوراق،, Al Warak",30.1177214,31.2073896,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u20091:00\u202fAM']",مكاني كافيه -Makany cafe,ar,Cafe,,,
18,ChIJ0S41JYSr9xQRn7zPdOMFzEo,"['cafe', 'point_of_interest', 'food', 'establishment']",,"4W6X+5R4, Abo El-Alaa El-Maarry, Qism Kafr El-Shaikh, Kafr Al Sheikh First, Kafr El-Sheikh Governorate 6860426, Egypt",3.6,https://maps.google.com/?cid=5389689328531127455,,147.0,cafe,"4W6X+5R4, Abo El-Alaa El-Maarry, Qism Kafr El-Shaikh, Kafr Al Sheikh First",31.1103944,30.9495806,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",Al Shahawi Cafe,en,Cafe,,,PRICE_LEVEL_INEXPENSIVE
19,ChIJZYcu3V4MWBQRcOM-wn8Uts8,"['coffee_shop', 'cafe', 'food_store', 'store', 'point_of_interest', 'food', 'establishment']",,"88C6+7HQ, Tokh - Shebein Al Kanater, Madinet Shibin Al Qanater, Shibin el-Qanater, Al-Qalyubia Governorate 6330957, Egypt",4.0,https://maps.google.com/?cid=14967172950564725616,,65.0,coffee_shop,"88C6+7HQ, Tokh - Shebein Al Kanater, Madinet Shibin Al Qanater, Shibin el-Qanater",30.3207221,31.311475400000003,"['Monday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20092:00\u202fAM']",Mazzika Cafe,ar,Coffee Shop,,,
20,ChIJx3LA8vad-RQRASYnKkcvVLc,"['coffee_shop', 'cafe', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",+20 10 18330889,"7897+27V, El Sharq, Port Said Governorate 8574124, Egypt",4.6,https://maps.google.com/?cid=13210235589680899585,,156.0,coffee_shop,"7897+27V, El Sharq",31.267567,32.3130464,"['Monday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u20091:00\u202fAM']",Rankers espresso,en,Coffee Shop,1.0,100.0,
21,ChIJFQ5c5Lrj-RQRLdP5j7lubeY,"['sandwich_shop', 'restaurant', 'food', 'point_of_interest', 'establishment']",+20 11 28115155,"El-Bahr, Qism Damietta, Damietta Desert, Kafr El-Sheikh Governorate 6860505, Egypt",4.2,https://maps.google.com/?cid=16604049144448406317,,210.0,sandwich_shop,"HD Bank Buildings, El-Bahr, Qism Damietta, Damietta Desert",31.1099658,30.9459952,"['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200911:00\u202fPM']",مطعم عروس النيل,en,Sandwich Shop,,,PRICE_LEVEL_MODERATE
22,ChIJeYmL993E9RQRKeP8FQdMD-0,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",,"6XM2+MCM, Fleming, Qesm AR Ramel، Alexandria Governorate 5452005, Egypt",3.7,https://maps.google.com/?cid=17081955504956957481,,90.0,museum,"6XM2+MCM, Fleming, Qesm AR Ramel",31.2342181,29.951031800000003,,National Maritime Museum,en,Museum,,,
23,ChIJlQ1dzKqj9xQRWjz1PbjqUdk,"['museum', 'point_of_interest', 'establishment']",,"Al Tokhai, Samannoud City, Samannoud, Gharbia Governorate 6786213, Egypt",4.1,https://maps.google.com/?cid=15659555456378289242,,30.0,museum,"Al Tokhai, Samannoud City, Samannoud",30.9657011,31.243915800000003,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 9:00\u202fAM\u2009–\u20092:00\u202fPM']",معبد سمنود الأثرى,ar,Museum,,,
24,ChIJj8iDfQAlVhQRQYN2h-eTMgI,"['tourist_attraction', 'point_of_interest', 'establishment']",,"XH92+XHH, Suez, Suez Governorate 8142010, Egypt",,https://maps.google.com/?cid=158351559530808129,,,tourist_attraction,"XH92+XHH, Suez",29.969986,32.5515454,,قصر شحاته سليم باشا,en,Tourist Attraction,,,
25,ChIJObobgalAWBQRaDZWJLtQRhw,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",+20 2 25113099,"3 الحطابه، Al Abageyah, El Khalifa, Cairo Governorate 4252360, Egypt",4.0,https://maps.google.com/?cid=2037404646130464360,https://m.facebook.com/pages/category/Government-Organization/%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%AD%D9%81%D9%88%D8%B8%D8%A7%D8%AA-%D8%A8%D8%A7%D9%84%D9%82%D9%84%D8%B9%D8%A9-1584657885097980/?locale2=ar_AR,1348.0,,"3 الحطابه, Al Abageyah, El Khalifa",30.0320194,31.260375300000003,"['Monday: 8:30\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:30\u202fAM\u2009–\u20092:00\u202fPM']",Egyptian Archives,en,,,,
26,ChIJ77mnRTZZTxQR2nRREZFrTQY,['town_square'],,"ميدان العروبة، Al Kabsh, Sohag 1, Sohag Governorate 1674222, Egypt",,https://maps.google.com/?cid=454137408239269082,,,town_square,"El-Khouly, Sohag 1",26.5537933,31.6947922,,ميدان العروبة,ar,Town Square,,,
27,ChIJqxKEvjRZTxQRlTfERwyLk5M,"['restaurant', 'food', 'point_of_interest', 'establishment']",+20 10 20203822,"شارع المشنب، Al Kabsh, Sohag 2, Sohag Governorate 1683031, Egypt",4.6,https://maps.google.com/?cid=10633996030011783061,,10.0,restaurant,"شارع المشنب, El-Khouly, Sohag 2",26.558039,31.697909300000003,,FOOD CRAFT,ar,Restaurant,1.0,100.0,
28,ChIJ1-7S4N1AWBQRODQ9zBfz9SM,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",+20 2 27373298,"1 Al Sheikh Al Marsafi, Omar Al Khayam, Zamalek, Cairo Governorate 4270151, Egypt",4.2,https://maps.google.com/?cid=2591244444157948984,http://www.sis.gov.eg/Story/1731/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D8%AE%D8%B2%D9%81-%D8%A7%D9%84%D8%A5%D8%B3%D9%84%D8%A7%D9%85%D9%89?lang=ar,114.0,museum,"1 Al Sheikh Al Marsafi, Omar Al Khayam, Zamalek",30.056297,31.2231247,"['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20094:00\u202fPM']",Islamic Ceramics Museum,en,Museum,,,
29,ChIJy2nLVG8_WBQRmtYumPBwEzQ,"['restaurant', 'food', 'point_of_interest', 'establishment']",+20 15 50057533,"5 Baghdad St, El-Montaza, Heliopolis, Cairo Governorate 4460213, Egypt",3.9,https://maps.google.com/?cid=3752467093177423514,https://www.facebook.com/Garcia-Restaurant-104027682000659/,3450.0,restaurant,"5 Baghdad St, El-Montaza, Heliopolis",30.0891658,31.3221648,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 10:00\u202fAM\u2009–\u20091:00\u202fAM']",Garcia Restaurant & Cafe,en,Restaurant,100.0,300.0,PRICE_LEVEL_MODERATE
30,ChIJO_Wb-MjF9RQRcN7yobPjcHE,"['museum', 'point_of_interest', 'establishment']",,"6XV9+RJ5, San Stefano, El Raml 1, Alexandria Governorate 5451102, Egypt",5.0,https://maps.google.com/?cid=8174283684333149808,,2.0,museum,"6XV9+RJ5, San Stefano, El Raml 1",31.2445212,29.969119600000003,,Egyptian Modern Art Museum,en,Museum,,,
31,ChIJMYw3TYdZTxQRjONJ4eYiYNk,"['tourist_attraction', 'point_of_interest', 'establishment']",,"HM2R+PJV, El-Khouly, Sohag 1, Sohag Governorate 1674203, Egypt",5.0,https://maps.google.com/?cid=15663557879012123532,,2.0,tourist_attraction,"HM2R+PJV, El-Khouly, Sohag 1",26.5515613,31.6916108,,ش . اولاد شاهين,ar,Tourist Attraction,,,
32,ChIJcTg6OPBBWBQRlUWI20bcHS4,"['tourist_attraction', 'point_of_interest', 'establishment']",+20 10 03511893,"كورنيش النيل المظلات أمام أبراج اغاخان بجوار كوبري تحيا، El Sahel, Cairo Governorate 4350220, Egypt",4.2,https://maps.google.com/?cid=3323054296958256533,,32.0,tourist_attraction,كورنيش النيل المظلات أمام أبراج اغاخان بجوار كوبري تحيا,30.101992400000004,31.2404404,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",رحلات نيليه وليد فكه مرسى تأجير يخوت لنشات مراكب نهر النيل القاهر القناطر,ar,Tourist Attraction,,,
33,ChIJU2T3p9JfTxQRYGOSor08cQw,"['restaurant', 'food', 'point_of_interest', 'establishment']",+20 11 25252929,"الجمهورية، Al Kabsh, Sohag 2, Sohag Governorate 82511, Egypt",3.6,https://maps.google.com/?cid=896564585997427552,https://omhassan.mobstep.com/catalog,462.0,restaurant,"الجمهورية, Al Kabsh, Sohag 2",26.5614267,31.6978544,,ام حسن سوهاج,en,Restaurant,,,
34,ChIJ101AOFXv-RQR4hcDzIj6Ttg,"['coffee_shop', 'cafe', 'food_store', 'store', 'point_of_interest', 'food', 'establishment']",,"House Of Coffee, Al-Shoaraa Rd, Qism Damietta, Damietta First, Damietta Governorate 34511, Egypt",5.0,https://maps.google.com/?cid=15586670825821116386,https://www.facebook.com/HOC.House.Of.Coffee,1.0,coffee_shop,"House Of Coffee, Al-Shoaraa Rd, Qism Damietta, Damietta First",31.4054191,31.8123597,"['Monday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 1:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 1:00\u202fPM\u2009–\u200912:00\u202fAM']",House Of Coffee,en,Coffee Shop,,,
35,ChIJvZMtzbNBWBQRsT01Z-0hEaM,"['tourist_attraction', 'point_of_interest', 'establishment']",,"26X9+98P Al Agouza Steps, October Bridge, Zamalek, Cairo Governorate 3753550, Egypt",4.3,https://maps.google.com/?cid=11750210206308842929,,133.0,,"26X9+98P Al Agouza Steps, October Bridge, Zamalek",30.0484542,31.2183152,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",October Bridge,en,,,,
36,ChIJnaTF361kNhQRMGW5l2l8yOM,"['cafe', 'point_of_interest', 'food', 'establishment']",,"3VPV+27C, Dr Mohammed Yassin Alyan, Sheyakhah Oula, Aswan, Aswan Governorate 1242030, Egypt",4.0,https://maps.google.com/?cid=16413505634910692656,,208.0,cafe,"3VPV+27C, Dr Mohammed Yassin Alyan, Sheyakhah Oula, Aswan",24.0850646,32.8931556,"['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fAM']",مقهى ليالى الحلميه,ar,Cafe,1.0,100.0,PRICE_LEVEL_MODERATE
37,ChIJayxJ3lgNRRQRKITdc34WkKQ,"['art_gallery', 'point_of_interest', 'establishment']",+20 10 09555960,"شارع، Bani Morr, El Fateh, Assiut Governorate 71785, Egypt",3.0,https://maps.google.com/?cid=11858002551232103464,,2.0,art_gallery,"شارع, El Fateh",27.2010835,31.198698099999994,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: Closed', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:30\u202fAM']",معرض سيف للأولومتيال مركز الفتح,ar,Art Gallery,,,
